还是	h;	2
出来	c;	2
但是	d;	2
发现	f;	2
工作	g;	2
不是	b;	2
自己	z;	2
一个	y;	2
现在	x;	2
我们	w;	2
这个	v;	2
他们	t;	2
什么	s;	2
如果	r;	2
起来	q;	2
朋友	p_
歪	wpe
粘	vmie
柄	bdeio
坑	kyo
陌	mce
窄	vhue
湘	xeuu
兆	va
崖	yweu
骄	jxue
刹	cai
鞭	bii
芒	mto
筋	jfu
聘	pii
钩	gcua
棍	gdui
嚷	rnoe
腺	xrui
弦	xvoe
焰	ymua
耍	spa
俯	fkoe
厘	lpia
愣	lhi
厦	spe
恳	kv
饶	rse
钉	dce
寡	ghe
憾	hheuo
摔	suoea
叠	dzi
惹	rto
喻	yniu
谱	pjo
愧	khui
煌	hmu
徽	hgia
溶	reoo
坠	vciu
煞	sso
巾	jwii;	2
滥	leii
洒	see
堵	dye
瓷	clea
咒	vnu
姨	ybe
棒	bdee
郡	jvaii
浴	yeuoo
媚	mbai
稣	ssue
淮	heio
哎	rnau
屁	pve
漆	qeuu
淫	yeuou
巢	cxi
吩	fnu
撰	vuae
啸	xna
滞	veei
玫	moue
硕	speu
钓	dcu
蝶	dweiu
膝	xruu
姚	ybuo
茂	mteu
躯	qdea
吏	lio
猿	ysiu
寨	vhee
恕	sbo
渠	qeuuo
戚	qpi
辰	cpee
舶	bgu
颁	bae
惶	hhui
狐	hsuu
讽	fju
笨	bfe
袍	pju
嘲	cnei
泼	peau
啡	fni
衔	xgiee
倦	jkou
涵	heai
雀	qt
旬	xsui
撕	sueiuu
僵	jkei
肢	vreia
垄	lpiu
夷	yuo
逸	ysoao;	2
茅	mta
侨	qku
舆	ydu
窑	yhue
涅	neu
蒲	pteo
谦	qjou
杭	hdoe
噢	rnui
弊	bme
勋	xnau
刮	gfi
郊	jlai
凄	qlea
捧	pue
浸	jeaea
砖	vpee
鼎	dwae
篮	lfii
蒸	vta
亩	mliae;	2
饼	bso
肾	seua
陡	dciu
爪	vgoo;	2
兔	tso
殷	yguaa
贞	vria
荐	jteu
哑	ynei
炭	tweu
坟	fyo
眨	vwuo
搏	bueie
拢	lueu
咳	kno
舅	jdia
昧	mge
擅	suoeo
爽	spuo
咖	kna
搁	guoiu
禄	ljae
雌	crio
哨	snio
巩	giuao
绢	jxoi
螺	lwia
裹	gli
昔	xiui
轩	xue
谬	mja
谍	djei
龟	gsi
媳	xbu
姜	jmaue
瞎	xwoo
冤	yjua
鸦	yuuae
蓬	ptu
巷	xiae
琳	lou
栽	ziu
沾	vei
诈	vju
斋	vleui
瞒	mwau
彪	bruu
厄	rpa
咨	zlo
纺	fxo
罐	gfa
桶	tda
壤	ryo
颂	sae
糕	gmo
膨	pri
谐	xjea
垒	lzi
咕	gnei
隙	xciu
辣	llei
绑	bxe
宠	cheu
嘿	hniao
兑	dmoi
霉	myu
挫	cuii
稽	jfeu
辐	fueo
乞	qfaa
纱	sxiu
裙	qja
嘻	xni
哇	wniu
绣	xxuea
杖	vdeu
塘	tyo
衍	ygeo
轴	vuia
攀	pde
膊	breie
譬	pvoe
斌	blee
祈	qju
踢	tnui
肆	siae
坎	kyuai
轿	juue
泣	qeo
棚	pdua
屡	lvou
躁	znoi
邱	qda
凰	hsui
溢	yeoui
椎	vdi
砸	zpe
趟	tyi
帘	lhia
帆	fwuao
栖	qdeie
窜	chi
丸	wso
斩	vuuui;	2
堤	dyu
塌	tyui
贩	fwuu
厢	xpuu
掀	xuu
喀	knoo
乖	gfie
谜	mjo
捏	nuu
阎	ykua
虏	lrau
滨	beo
匙	cgua
芦	lto
苹	pteoi
卸	xfai
沼	veau
钥	ycuae
株	vdu
祷	djee
剖	pli
熙	xio
怯	qhiu
哗	hnie
劈	pva
棠	tqu
胳	gru
桩	vdoe
瑰	gou
娱	yboi
娶	qiaue
沫	mee
嗓	sna
蹲	dno
淘	teu
焚	fd
嫩	nbe
韵	yluao
匈	xsuo
衬	cjei
竖	seoe
钧	jcua
峻	jwa
豹	bau
捞	lua
菊	jtua
鄙	bnai
魄	pdui
兜	ddua
哄	hneiu
颖	yseu
镑	bco
屑	xvi
蚁	ywou
壶	hyii
怡	yhao
渗	sea
秃	tfu
迦	jboa
旱	hge
哟	yna
咸	xpe
焉	yiea
宛	whu
谴	qji
稻	dfuo
铸	vcee
锻	dcui
伽	jkau
詹	vso
毙	bueuu
恍	hhi
贬	bwuo
烛	vmia
骇	hxo
芯	xtoa
汁	veeii
桓	hdeu
坊	fyoe
驴	lxo
朽	xdeaa
靖	jlee
佣	ykuai
汝	rea
碌	lpae
迄	qfoao
冀	jri
荆	jti
崔	cwio
雁	ypii
绅	sxia
珊	sou
榜	bdo
诵	sjao
傍	bkoeo
彦	yluu
醇	cioe
笛	dfia
禽	qko
勿	wsu
娟	jboi
瞄	mwaui
幢	vwoe
寇	khe
贿	hweu
睹	dweiui
踩	cnuo
霆	tyue
呜	wnua
拱	gue
妃	fbae
蔑	mtiae
谕	yji
缚	fxe
诡	gju
淹	yeeui
篷	pfu
腕	wr
煮	vioo
倩	qkee
卒	zlie
勘	kia
馨	xyu
逗	dio
甸	dsiae
贱	jwee
炒	cmiu
灿	cmia
敞	cqu
蜡	lwe
囚	qni
栗	liuu
辜	gioe
垫	duiu
妒	dbo
魁	kdo
谣	yjuou
寞	mha
甩	ssaa
蜀	swua
枕	vdoa
涯	yeeuiu
丐	giaa
泳	yeoa
奎	kpi
泌	meoa
逾	ykoao;	2
叮	dnei
黛	dkia
燥	zmoi
掷	vuou
枢	sdea
憎	zhou
藉	jtee
鲸	jsoe
弘	hva
倚	ykeue
侮	wku
藩	fte
拂	fua
鹤	hjua
蚀	ssia
芙	ftee
浆	jleo
垃	lyoe
烤	km
晒	sge
霜	syu
剿	jxii
蕴	ytaau
圾	jyua
屿	ywea
绸	cxu
氢	qfao
驼	txo
妆	vla
捆	kuoiu
铅	qcua
逛	gsoa
淑	seiea
榴	ldua
丙	bioo
痒	ylou
钞	cciu
蹄	tno
犬	qpo
躬	gdaea
昼	vvui
藻	zte
蛛	vwueo
褐	hjui
颊	jye
奠	dmeu
募	mtau
耽	dioa
蹈	dnuo
陋	lcei
侣	lkoi
魅	mde
岚	lwuau
侄	vkea
虐	nre
堕	dciue
陛	bce
莹	yte
荫	ytai
狡	jsoeu
阀	fki
绞	jxoe
垮	kyeu
膏	glua
茎	jta
缅	mxe
喇	lnei
绒	rxe
搅	juoo
凳	dzu
梭	sdaou
丫	ymii;	2
姬	jbea
诏	vja
钮	nc
棺	gdo
耿	giou
缔	dx
懈	xhua
嫉	jboe
灶	zmi
匀	ysoe
嗣	snae
鸽	gkua
澡	zeoi
凿	zeou
纬	wxe
沸	fea
刃	rboo
畴	cwe
遏	rgoa
烁	smua
嗅	xnui
叭	bnu
熬	roo
瞥	pmia
骸	hwoe
奢	spei
拙	vuai
栋	dde
毯	tfou
桐	tdi
砂	spiu
泻	xeo
莽	mteue
坪	pye
梳	sdoe
杉	sduuu
晤	wgei
稚	vfio
蔬	staio
蝇	ywoi
顷	que
捣	duuai
麽	mlua
尴	gpi
镖	bcei
尬	gpiu
诧	cjoo
硫	lpoeu
羡	xmo
嚼	jnu
沦	leiu
沪	heoa
旷	kgo
彬	bduuu
芽	ytea
狸	lsi
冥	mju
碳	tpi
咧	lneu
惕	thu
暑	sgei
萝	ltia
咯	lnu
汹	xeuoa
腥	xruiu
窥	khee
俺	rkeu
潭	teei
崎	qweu
麟	llouu
捡	jui
拯	vuaie
厥	jpo
澄	ceao
哉	zioi
萎	wt
涡	weo
滔	teuo
暇	xga
溯	seou
鳞	lsou
酿	nioa
茵	yto
愕	rho
暮	mtiae;	2
瞅	cwue
衙	ygei
诫	jjea
斧	fauu
兮	xae
焕	hmua
棕	zdo
佑	ykeuo
嘶	sne
妓	jbei
喧	xno
蓉	rtoo
删	ssii
樱	ydia
伺	skae
嗡	wnuo
娥	rbu
梢	sdi
坝	byi
蚕	coia
敷	fiu
澜	leoi
杏	xdoi
绥	sxu
冶	ylao
庇	blea
挠	nue
搂	ldoua
倏	skua
聂	nia
婉	wbo
噪	znoiu
稼	jfoo
鳍	qse
菱	ltiu
盏	voia
匿	nuau
吱	vne
寝	qho
揽	luii
髓	sweu
秉	bfo
矢	sfe
哺	bne
帜	vwoi
啪	pnei
邵	sba
挟	xueo
嗽	snei
缸	gfe
揉	ruaou
腻	nrea
驯	xxui
缆	lxi
晌	sguio
瘫	tlao
贮	vwoo
觅	mai
朦	mrau
隋	sceu
僻	pka
蔓	mtu
咋	znue
嵌	qwei
虔	qro
畔	pwou
琐	soio
碟	dpei
涩	seau
胧	lreu
嘟	dneia
蹦	bni
冢	vjeu
浏	leoe
裔	yliau
襟	jjuu
叨	tnau
旭	xsuie
诀	jjae
虾	xwei
簿	bfeo
啤	pnui
擒	quio
枣	zioo
嘎	gneu
苑	ytu
牟	mzu
呕	rne
骆	lxua
凸	tre
熄	xmu
兀	wpa
喔	rnae
裳	sqo
凹	rwe
赎	swei
屯	tuaa
膛	tri
浇	jeeae
灼	vmua
裘	qioe
砰	ppe
棘	jie
橡	xdua
聋	lpei
碱	jpe
姥	lbe
瑜	yoi
毋	wxee
娅	ybei
沮	jeiae
俏	qkio
萌	mtui
黯	rwo
粟	siou
撇	puou
粪	fme
尹	yvu
苟	gtua
癫	dlei
蚂	mwaa
禹	ydoo
廖	llao
俭	jkio
帖	twie
煎	jmoo
缕	lxou
窦	dhei
簇	cfoeu
棱	ldi
叩	knai
呐	nni
瑶	youo
莺	ytua
墅	swiu
烫	teo
蛙	wwi
歹	dpoo
伶	lkio
葱	ctuao
哮	xnei
眩	xwoe
坤	kyi
廓	klo
讳	hjee
啼	tnoe
乍	vfee
瓣	blu
矫	jfue
枉	wd
跋	bneu
梗	gdei
厕	cpi
琢	voe
讥	jjua
釉	yai
窟	khaea
敛	lkue
轼	suea
庐	lloau
胚	preu
呻	snia
绰	cxie
扼	rueu
懿	yyoe
炯	jmi
竿	gfee
慷	kho
虞	yro
锤	ccu
栓	sdie
桨	jluu
蚊	wwo
磅	bpo
孽	nt
惭	chea
戳	cze
禀	bloi
鄂	rnai
馈	ksi
垣	yyeu
溅	jeiaee
咚	dnua
钙	gce
礁	jpi
彰	vlu
眯	mwo
豁	hhuo
磷	lpou
雯	wyo
墟	xyi
迂	yooao
瞻	vwuao
颅	lreui
琉	looe
悼	dhi
蝴	hwei
拣	jueao;	2
渺	mei
眷	jmia
悯	mhoi
汰	teeu
慑	sheia
婶	sboo
斐	fro
嘘	xnie
镶	xcoe
炕	kmo
宦	hhea
趴	pnuo
绷	bxua
窘	jha
襄	xloi
珀	po
嚣	xneu
拚	puao
酌	viua
浊	veia
毓	yfoe
嗜	sneiu
撼	hueu
扛	kue
峭	qwio
翘	quaoa
磕	kpiu
槽	cdeiu
栅	vdua
淌	teio
颓	tfeu
熏	xfoo
瑛	yoau
忖	chei
颐	yueu
牡	mfiu
缀	vxa
徊	hgoi
梨	lfu
肪	froe
涕	teou
惫	bsoa
摹	mtue
踱	dnoe
肘	vreio
挚	vuue
熔	rmo
氯	lfae
绎	yxao
凛	lloeo
庶	sloo
脯	prei
迭	dfo
睦	mwiuu
窍	qhei
粥	vvo
庵	rle
沧	ceia
沁	qeoa
怠	dzo
奕	yleuo
咙	lneuo
氨	rfo
矗	cie
盔	kpia
拇	muaa
沛	peeii
榻	tdui
揣	cuiaeu
崭	vwea
鞘	qii
鞠	jiua
垦	kvi
洽	qei
唾	tnue
橱	cdeue
仕	skiue
蜘	vwueoi
痰	tlo
袜	wje
峙	vwiu
柬	jio
蝉	cwou
蟹	xsia
谏	jjeio
鹃	jnua
擎	qtu
皓	hdue
朕	vrou
疤	blai
禺	ywoo
铲	ccoe
酶	miu
钝	dcea
匣	xuia
氓	mla
弧	hvu
峨	rwu
锥	vcio
揪	juueo
杠	gdeie
吭	knoe
崛	jwae
诬	wjei
冉	rwee
抒	suao
庚	glae
悍	hhuie
靡	mlie
晦	hgue
醋	ciei
夭	yfoo
锯	jcae
壕	hyo
咦	yneao
侈	ckua
婢	bbu
猾	hsia
徘	pgi
硝	xpi
煽	smoaa
皂	zde
舵	dgo
嗦	sneia
狈	bsi
靴	xiiu
捂	wue
疮	cliaa
郝	hya
苛	kte
秽	hfi
茜	qte
搓	cuou
芸	ytee
赁	lkia
酱	jlei
檐	ydua
饷	xsuio
蕉	jtio
铀	yci
苔	tta
赦	syue
缎	dxu
舷	xgo
筷	kfo
朔	smuae
婪	ldau
紊	wlaa
厮	speiu
婿	xba
寥	lha
兢	jiei
糙	cmu
卦	gyi
槐	hdui
扒	buuoo
裴	proe
祀	sjae
埔	pyei
絮	xbaa
芭	bta
屉	tvei
痪	hlu
霄	xyio
绽	vxoo
邑	ynai
宵	xhi
霖	lyu
岔	caia
茄	qta
饵	rsei
韧	roa
琪	qoei
邹	zsa
瑚	hoe
憋	bmo
殆	dpa
噜	lnua
忒	tuoa
忿	faoa
衅	xdou
淳	ceo
悖	bhei
髦	miue
孜	zcu
粤	ydea
隘	rcou
濒	bei
铮	vcu
畸	jweu
剔	tgii
坞	wyu
篱	lfo
淀	deoo
蓦	mtaa
唬	hnieu
趾	vni
锣	lcia
汀	teeii
缉	jxoie
嫦	cb
斟	viooe
鞍	rio
扳	buuua
拴	suie
诅	zji
谟	mjau
呃	rneu
懦	nhe
逞	cno
犁	lfue
忏	chue
拧	nuo
亥	hloo
叱	cnuaa
佟	tku
舜	saua
绊	bxo
龚	gpei
腮	sri
邸	dsa
椒	jdie
蔚	wta
狩	ssoo
湛	veeiu
眶	kwea
栈	vdee
薇	wtu
肮	rr
瀑	peui
渣	veu
褂	gjiu
叽	jnuaa
臀	tvu
妞	nbai
巍	wwue
唔	rnei
疚	jluao
戎	rueuo
鲤	lsia
肇	vjae
笃	dfaa
辙	vuoeu
娴	xboi
札	vda
阮	rce
懊	rhui
焘	tooo
恤	xhui
疹	vliuu
潇	xea
铝	lcoi
涤	deu
恃	shiue
喽	lnou
砌	qpea
遁	dgoa
楞	ldia
阱	jcee
咎	jsoie
洼	wei
炳	bmei
噬	snu
枫	fdu
拷	kuei
哆	dnuau
矶	jpu
苇	wte
翩	pja
窒	vhea
侬	nkoa
胰	yrea
靶	biai
芜	wtee
嚎	hnoe
辫	blaa
妾	qla
幌	hwu
踉	lnoa
佃	dkiae
葫	hte
拽	vuiau
皖	wdo
滤	leie
睬	cwuo
匕	bsaa
俞	ykuaii
谤	bjoe
嗤	cna
捍	huui
孵	fsuo
倪	nkui
瘾	ylai
匡	kuee
敝	bmue
绫	lxiu
磋	cpou
尧	yueua
淆	xeuoe
蕊	rtoa
烘	hmei
璋	voo
亢	klu
轧	yuaa
赂	lwuao
榆	ydiu
蝗	hwui
骏	jxao
诛	vjue
勺	ssoo;	2
梵	fdua
炽	cmoi
笠	lfoe
颌	hkeu
闸	vkiai
狒	fsae
樊	fde
镕	rcoo
垢	gyu
瘟	wlu
缪	mxa
菇	gta
琦	qoeue
剃	tmi
炫	xmoe
溺	nea
迸	bmoa
惚	hhua
嗨	hneo
陨	ycoi
赃	zwoe
羁	jwei
嘀	dnoei
臻	vuee
膳	sro
赣	gluae
殉	xpua
踌	cnee
桔	jdiu
瞿	qwioe
闽	mki
豚	treu
掺	cua
沌	dee
喳	vnuu
惰	dheu
椭	tdai
咪	mnou
霎	syo
侃	kko
猝	csoe
窖	jhue
戮	lze
祠	cjae
瞩	vwae
菁	jteeu
佬	lkeiu
躇	cnau
肋	lrauu
咄	dna
忡	chia
雍	ylaa
忱	cho
蕾	lteo
跄	qnia
硅	gpiui
伎	jkeia
炊	cmua
钊	vcii
蝠	fweo
拭	sueae
屎	svou
谛	djo
褪	tja
丞	ccee;	2
卉	hieu
隧	scou
茸	rte
钳	qce
啃	kni
伢	ykea
闺	gki
舔	tfee
蹬	dnao
挛	lluei
眺	twu
袱	fji
陇	lceu
殴	ruuaa
柿	sdoei
梧	wde
惺	xhuiu
弛	cva
侥	jkea
琛	coo
捅	tuaoi
酝	yiee
薯	stiae
曳	ywuu
澈	ceoe
锈	xcue
稠	cfua
眸	mwao
咆	pnua
簧	hfe
鸥	ruuae
疡	ylau
渎	deei
汲	jeua
嬉	xbi
脓	nro
骡	lxia
穗	sfei
巳	sva
拎	luio
槛	kdii
邢	xoa
廿	nie
搀	cuua
曙	sgi
樵	qdio
隅	ycia
筛	sfiu
谒	yjui
倭	wkue
痹	bli
猖	csu
佯	ykoui
肛	grei
奚	xaaa
抨	pueo
甭	bpua
蛾	rwue
唠	lnau
荧	ytou
嵩	swoe
漱	seei
诘	jji
酋	qme
攘	ruoe
篡	cfia
睿	rri
噩	rioi
怅	chueo
徙	xgiei
盎	rwia
鞅	yii
祟	scee
漓	leoei
睫	jwea
攸	ykue
翎	lkao
呛	qniaa
筐	kfe
檀	tdoe
堑	quiu
寅	yhei
磊	lpeu
驭	yxaoo
惘	whia
吠	fne
驮	txe
瑙	noa
炬	jme
痉	jlao
曝	pgu
恺	khi
萤	ytia
胺	rro
敕	ciue
筝	vfua
幡	fwuo
霹	pyae
竺	vfeee
烙	lmu
毗	pwe
鸠	jsuae
埠	byu
蒜	stee
阜	fdei
嘈	cneiu
乒	pduu
帷	wwio
啄	vneu
鳌	rou
毡	vfie
阙	qkou
褥	rje
搔	suaoi
笋	sfae
狞	nso
冕	mgu
韶	sla
骼	gwuao
蔼	rtoau
烹	plo
奄	ypiaa
嫖	pbei
沐	meuu
噗	pni
岑	cwioa
蛟	jwo
咏	ynoa
弩	nbaea
掳	luie
圃	pneie
捻	nui
孚	faai
悴	choe
呱	gnuu
诣	yjuau
祁	qjai
钠	nci
捶	cuue
袄	rju
澎	pei
氮	dfou
恪	khua
雏	csio
堰	yyea
撮	cuui
唆	snao
彷	fgoe
晖	hgoa
犀	xve
沽	gee
橄	gdaeu
腑	froei
掐	quu
亵	xlei
龋	qru
嗒	dnau
咀	jni
祺	qje
匾	buo
锚	mca
乓	pdoo
贻	ywaoo
萃	ctoe
揖	yuoi
觑	qri
吝	lloi
憔	qhioo
羌	qmaa
诲	hjue
砾	lpu
蠕	rweo
肴	yae
撩	lueuu
坍	tyua
酥	siueo
袅	nsoe
黝	ywaaa
俾	bkui
嫣	ybeie
穹	qhae
秧	yfi
妊	rbue
溉	geae
鹊	qiuae
聿	yvii
疙	glue
蘑	mtoe
睾	gdiu
楷	kdea
锌	xcoee
酵	jieia
茹	rta
滇	deeiu
辗	nuaee
纂	zfiae
圭	gyiu
幔	mwu
褒	bliu
揍	zue
倔	jkaeai
诽	fjie
颉	jyeu
腓	fri
锄	ccia
嗔	cneiuo
磺	hpe
攒	zuue
雳	lye
瘩	dla
吆	ynaa
悚	sheio
墩	dyo
彝	yxo
囱	cdu
逍	xqo
辄	vuei
俨	ykei
桅	wdu
纶	lxiua
殃	ypiao
悸	jhuea
帧	vwie
俐	lkuei
绮	qxeu
籽	zmai
袒	tju
孰	slua
愫	shee
拌	buou
橙	cdao
暨	jvu
赘	voiai
敖	roue
抉	juaeo
淤	yeoei
剌	lii
娼	cbu
顼	xoe
葵	kta
哝	nno
酣	hiei
麓	ldoe
琅	looa
钵	bceie
簸	bfei
禾	hfo
铢	vcue
璧	bve
娠	sbe
彗	hoa
惋	whoo
腋	yroe
螂	lwoa
阪	bcu
劾	hlau
掣	cfue
沥	lee
粱	leou
嚓	cnoo
惮	dho
氖	nfa
捎	suiou
羔	gmoo
俟	skaou
渲	xeoo
榄	ldii
茧	jtia
霓	ny
鹉	wou
胥	xcua
撬	quue
橘	jda
琶	poa
拈	nuie
笆	bfa
痊	qlie
亟	jcee;	2
渭	weia
狙	jsi
珂	koe
刨	ps
蜕	two
谚	yjoe
憧	choei
瞟	pwei
拗	nuaa
馒	msu
帚	vvi
钗	cca
哧	cniuu
喋	dneiu
箫	xfae
刁	dve
怦	phe
缭	lxe
迥	jwoa
湄	meai
渝	yeiu
把	bz
冗	rjua
闵	mkoe
噶	gnau
黏	nfie
蕃	btu
驿	yxaoe
弼	bveu
淄	zea
饺	jsoeuo
韬	touo
硪	wpu
心	xu
鹦	ywua
蜒	ywui
偎	wki
榨	vdoo
漉	leoee
皈	gduu
矜	jzi
碉	dpu
笈	jfua
鲨	seuai
枷	jdau
蹑	nnei
瀚	heeii
酪	liuao
谑	xjie
癖	plae
揩	kuea
炙	vsou
烬	jmae
蜷	qwou
侏	vku
凋	dlua
漪	yeuae
悻	xhiu
蹋	tnuia
讪	sjiai
碘	dpi
搐	cuoei
帛	bdiai
诠	qjie
碾	npa
擂	lueo
苯	bte
诃	hjei
铎	dca
戊	wpoo
荀	xtua
驹	jxuao
攫	juia
憬	jhui
哽	gneio
踵	vnue
蟒	mwaue
漾	yeouo
啧	zne
吮	snaou
氟	ffae
楠	nd
怂	skoa
叼	dnae
竣	jlaou
偕	xkea
漩	xeoe
蹭	cnou
翌	yzo
挝	wuei
臆	yroeo
绚	xxua
崽	zwia
糜	mlo
瘢	bluu
跤	jno
恬	thue
阑	lkeio
豢	hmeu
跷	qne
汶	weoe
琵	poe
蜗	wwoi
憨	hvo
螅	xwu
惴	vhia
戟	jiea
匮	kui
恙	ymoa
抿	muae
桢	vdie
笺	jfee
蛤	hwi
瞳	twoe
瓢	piuu
芹	qtuu
秤	cfeo
跺	dnuauu
潦	leeu
哒	dneu
饬	csue
栩	xda
曦	xgou
骷	kwei
卤	lroi
鬓	bioou
丕	ppee
嫡	dboe
梓	zdoe
嗖	snui
惦	dhoe
浚	jeao
咔	knie
藐	mtuo
荃	qti
唧	jnae
玺	xsee
汛	xeae
铐	kce
髅	lwou
皿	mwee
渤	bee
箍	gfei
馅	xsua
戍	spoo
汾	feuoa
痔	vliuei
褶	vjao
聆	liio
汞	gieo
涎	xeui
巅	dweie
奂	hsiao
疣	yleuo;	2
渍	zee
逵	kyoa
傩	nka
耆	qiui
蟋	xwuo
鳄	rso
讹	rjiu
膺	yluae;	2
蹿	cnooi
筏	ffie
沂	yeuu
釜	fae
坯	pyeu
峦	llia
茬	cteu
蟀	swoea
摒	buae
撵	nuee
缤	bxoo
浒	heoau
珑	loe
嵋	mwai
苞	btua
瑾	joe
泵	bpeo
钾	jcia
暧	rguo
赓	glia
叟	sdaoo
佚	ykueo
沓	teui
撂	luia
甥	sfia
晏	ygo
蛊	gwiae
璐	looi
瘪	blui
漳	veoe
阉	ykeui
蹂	rnao
琏	loea
鳃	ssiao
湃	peue
辘	luoe
躏	lnauo
僭	jkeau
鼾	hdee
懵	mhau
镰	lcoe
寐	mhai
褚	vjeiu
攥	zuuei
涧	jeo
蝙	bwo
脐	qroe
辕	yuiu
涣	heua
杞	qdae
煜	ymui
骥	jxie
祯	vjie
傣	dkee
嗳	rnuo
酉	yiee;	2
捺	nueu
秸	jfi
瑕	xoae
鑫	xcie
馋	csua
窿	lhai
胱	gri
楔	xdee
荔	ltaua
蟆	mwauu
屹	ywue
轲	kueio
湍	teia
遐	xvoa
镯	vcia
缰	jxei
桦	hdi
炖	dmea
羚	lmi
诩	xjao
钡	bci
啬	sioi
绯	fxi
掖	yuoe
箓	lfaee
涸	heoi
鸳	ysua
塾	sliu
呸	pneu
抡	luiu
擞	suou
坷	kyei
跛	bnau
亘	geui
瓮	wae
嗟	jnou
筵	yfu
汕	seia
欤	yuuai
壑	hri
颍	yseui
姗	sbua
溥	peeie
踊	ynao
枭	xsuu
跚	snua
暄	xgoo
稷	jfia
笙	sfue
涟	leea
瀛	yeoea
踝	hniao;	2
滕	trou
贰	ruee
瞰	kwa
恻	chiai
嚏	tnei
迢	tboa
獗	jseu
邯	hia
睑	jwio
赡	swuao
珥	roe
萦	ytaai
酮	tii
璞	poi
羹	gmou
缄	jxeu
晾	lgo
俸	fkee
鸾	lluae
媲	pbu
恿	yzoa
蜿	wwoo
蜈	wwoie
讷	nji
扈	hjoi
犊	dfei
戌	xpeo
藕	rtee
蓓	bti
翟	vzi
鋆	yyie
谀	yjue
谩	mjui
卯	msai
岐	qweia
谙	rjo
蝎	xwui
荼	tti
椰	ydei
镀	dco
甄	viea
蹊	xnuo
蟾	cwua
泞	neoo
螃	pwoe
撸	luu
檬	mda
猓	gsia
蔷	qtei
羲	xmue
瘸	qlau
蘸	vte
蔗	vtoe
傀	kku
蚌	bwe
锢	gcoi
恚	hyoa
遽	jroa
邃	sho
皑	rdi
锵	qco
簌	sfeiu
昊	hgee
焙	bmoe
鹳	gtuae
睽	kwao
刽	gkii
鳖	bmeia
呗	bnia
噎	yniue
寰	hhia
唷	ynoeu
殡	bpoo
睐	lweo
诰	gjue
恣	zloa
淖	nei
婵	cbo
榈	ldoi
氦	hfoe
靳	jiuu
蛹	ywaoi
鸯	ywuae
惬	qhea
蹙	cpoii
诙	hjeu
眈	dwoa
罡	gwe
胤	yuaaa
缮	sxou
蛀	vwoee
皋	gdeu
偌	rkau
绛	jxuae
疵	clie
葆	btio
黔	qwioa
喙	hnaa
佼	jkoe
烽	fmua
斓	lloie
儡	lkiai
嫔	pbo
龈	yra
颚	rneui
盅	vwia
娓	wba
坂	byuu
町	dweii
芥	jtiu
瘠	jloe
挎	kueu
荟	htie
阂	hkoe
啜	cnao
橇	qdue
垛	dyua
淇	qeei
瓒	zou
篓	lfou
虱	saui
跻	jnoe
龛	kke
髯	riia
蹒	pna
痫	xloiu
瞠	cwioi
掂	duoe
酰	xiue
镁	mco
潼	teoe
灸	jsou
腆	tria
筱	xfi
谆	vjoe
壬	rfe
茗	mtua
骋	cxia
椋	ldoeo
蛔	hwoi
潺	ceae
扉	fjiei
耘	yoe
槟	bdoo
雹	byua
甬	yziai
淞	seuu
谥	sjou
蚪	dwoo
蕙	htei
燎	lmeu
蜻	qwee
轶	yuue
郸	dmai
狰	vsua
楣	mdai
荪	staii
捋	luuo
涓	jeoi
娄	lma
麝	sluie
蚤	zz
薰	xtue
醮	jiioo
搪	tuoe
辍	cuao
湮	yeei
谧	mjoa
瞌	kwi
茉	mtee
梆	bdeea
樟	vdoeu
岖	qwea
臼	jdee
癣	xlua
穑	sfeio
玷	doi
馍	msauui
呷	xnia
妩	wbe
萼	rtoi
伫	vko
彤	tsu
岬	jwia
莓	mtuea
媛	ybuoe
惆	chua
鳎	tsui
蜓	twue
啾	jnue
囔	nneio
孺	rceo
徇	xguau
徵	vgi
焊	hmui
岱	dkiai
昵	nga
卅	spii
邙	mlai
飙	bpuau
隼	skeii
痞	pleu
恫	dhia
怆	chiaa
桀	jsuu
绶	sxuo
裆	dji
盂	yoia
桧	gdie
蚓	ywae
抠	kueau
槌	cdui
嗷	rnee
蚣	gwuoa
痘	dleo
痢	llueii
芮	rti
闩	skee;	2
铿	kci
飓	jsia
蝌	kwu
疱	plu
蚯	qwu
撅	jueuo
窠	khia
斡	wiio
荚	jteo
耷	dpeie
砚	ypiau
牒	ddei
赈	vweu
煦	xgooo
嗫	nneia
耙	poai
榕	rdo
鞑	dieuo
袤	mlao
谌	cjeiu
醺	xiueo
秆	gfeei
徨	hgui
翡	frao
橹	lduau
缨	yxia
锹	qcue
嵇	jfeui
圪	gyue
髻	jiiu
嗬	hnau
辎	zua
痣	vliuo
谄	cju
娩	mbu
蛐	qwia
鹞	yaua
翱	rda
庖	plua
籁	lfei
蓿	xtoo
鳗	msui
疟	nle
鲇	nsi
颔	hkeui
嚅	rneo
黜	cwai
黠	xwi
瘀	yloe
濑	leei
馁	nsu
忐	troa
洵	xeua
忑	tio
砥	dpua
咂	znea
罹	lwoo
糠	kmoe
匝	zui
偃	ykeau
淙	ceoo
纫	rxa
闾	lkoio
祛	qjiu
喏	rnaue
蛰	vuiao
腼	mre
涝	leau
曜	yga
闰	rkeee
洄	heoio
疽	jlia
厩	jpa
煊	xmoo
汐	xeuao
铬	gcuao
璜	hoei
藓	xtuao
渥	wea
靼	diu
