并	b_
妾	qhv
瘸	qhz
呛	qi/
跷	qia
吣	qiv
阙	qj/
衾	qj;
倾	qja
侨	qje
禽	qjo
企	qju
侵	qjv
阕	qjz
擒	qk/
撬	qke
衢	qko
掮	qkv
掐	qkz
谦	ql/
谴	ql;
祺	qla
祈	qle
启	qlo
祛	qlu
裙	qlv
劝	qlz
遒	qm;
酋	qma
拳	qme
羌	qmv
歉	qmz
恰	qn/
寝	qn;
窃	qna
憔	qne
悄	qnu
穹	qnv
穷	qnz
圈	qo/
遣	qo;
曲	qoa
瞧	qoe
峭	qou
岂	qov
颀	qqe
躯	qr/
丘	qra
泉	qru
邱	qrv
区	qs/
顷	qse
堑	qsu
妻	qsv
秋	qt/
迁	qt;
签	qta
乔	qte
氰	qtu
缺	qtv
趣	qua
罄	que
墙	quu
趋	quz
腔	qv;
戕	qva
阡	qve
朐	qvz
鳅	qwe
鳍	qwu
卿	qwv
绻	qx/
驱	qxa
纤	qxe
缱	qxo
铨	qy/
虔	qy;
钳	qya
铅	qye
觑	qyo
歧	qyu
镪	qyv
钦	qyz
辱	raa
碍	rao
厄	rav
屙	rbv
桉	rc;
溶	rd;
染	rda
澳	rde
润	rdo
汝	rdv
艾	re/
蓉	re;
荣	rea
荏	ree
芮	reo
藕	reu
惹	rev
鞍	rf;
耳	rfa
噩	rfo
垩	rfu
恶	rfv
鏊	rg/
熬	rg;
獒	rga
敖	rge
瑞	rgo
遨	rgv
韧	rgz
鏖	rh/
霭	rh;
庵	rha
哀	rhe
癌	rho
霭	rhv
哎	ri/
嚷	ri;
呕	ria
哦	rie
嗯	rio
嗷	riu
唉	riv
儒	rj;
仁	rja
俄	rje
偶	rjo
傲	rju
仞	rjz
按	rk;
扰	rka
摁	rko
挨	rkv
扔	rkz
谙	rl;
柔	rla
袄	rle
谔	rlo
诶	rlv
冗	rlz
熔	rm;
乳	rmv
燃	rmz
怄	rna
额	rne
案	rnv
肉	ro/
黯	ro;
岸	roa
盎	roo
恩	rov
暧	rr/
暗	rr;
奥	rra
皑	rro
翱	rrv
昂	rrz
戎	rsa
娥	rse
贰	rsu
欧	rsz
氨	rt;
壬	rta
矮	rte
鹅	rtz
壤	ru;
埃	ruv
坳	ruz
隘	rv/
孺	rv;
孺	rva
腭	rvo
阮	rvu
迩	rw;
饶	rwa
饿	rwe
鳄	rwo
尔	rwu
绒	rxa
纫	rxz
锐	ry/
镕	ry;
睿	ryo
刃	rz;
爽	sa/
碎	sa;
厦	saa
殊	sae
石	sao
奢	sau
耍	sav
屎	sb/
肃	sb;
尸	sbe
属	sbo
刷	sbu
巳	sbv
松	sc/
述	sc;
森	sca
杉	sce
梢	scu
树	scv
溯	sd/
裟	sd;
洒	sda
沈	sde
湿	sdo
沙	sdu
沈	sdv
涩	sdz
莎	se;
菘	sea
薯	seo
蒜	seu
萨	sev
苏	sez
甚	sf/
速	sf;
丧	sfa
散	sfe
束	sfo
索	sfu
酸	sfv
琐	sg/
寿	sga
示	sgu
素	sgv
珊	sgz
熟	sh;
霜	sha
施	she
市	sho
率	shu
瘦	shv
孰	shz
啥	si/
噻	si;
嘶	sia
噬	sie
虽	sio
哨	siu
嗓	siv
跚	siz
闪	sj/
食	sj;
耸	sja
伤	sje
尚	sjo
什	sju
似	sjv
倏	sjz
授	sk/
誓	sk;
摄	ska
搜	ske
损	sko
捎	sku
扫	skv
势	skz
识	sl/
诗	sl;
试	sla
谁	sle
视	slo
社	slu
双	slv
设	slz
燧	sm/
送	sm;
杀	sma
首	sme
善	smo
塑	smu
释	smv
烁	smz
赛	sn/
邃	sn;
守	sna
宿	sne
审	sno
室	snu
瞬	so/
蛇	so;
髓	soa
睡	soe
史	soo
申	sou
思	sov
岁	soz
帅	spo
艘	sqe
射	sra
顺	sre
曙	sro
暑	sru
鼠	srv
匙	srz
输	ss/
婶	ss;
轼	ssa
嫂	sse
始	ssv
姗	ssz
税	st/
适	st;
穗	sta
牲	ste
失	sto
升	stu
私	stv
舐	stz
竖	su;
寺	sua
赦	sue
螫	suo
士	suu
肾	suv
隧	sv/
胜	sv;
隋	sva
收	sve
腮	svo
孙	svu
鳝	sw/
煞	sw;
夙	swa
饰	swe
蚀	swo
狮	swu
氏	swv
缮	sx/
缩	sx;
丝	sxa
驶	sxo
纱	sxu
骚	sxv
绍	sxz
铈	sy;
锼	sye
锁	syu
叔	syv
铯	syz
邵	szv
劭	szz
砼	ta/
砣	ta;
厅	taa
碳	tao
套	tav
弹	tb/
屉	tba
屉	tbe
屠	tbu
臀	tbv
梯	tc/
檀	tc;
柝	tce
桐	tco
桶	tcv
涂	td/
潼	td;
潭	tda
淘	tde
湍	tdo
涛	tdu
滩	tdv
汤	tdz
荼	te/
葶	te;
荑	tea
茼	teo
藤	tev
萄	tez
酡	tf;
酞	tfa
酮	tfo
忑	tfv
韬	tg/
焘	tg;
替	tgo
泰	tgu
痰	th/
亭	tha
庭	the
童	tho
唐	thv
疼	thz
跳	ti/
啼	ti;
呔	tia
唾	tie
踢	tio
吐	tiu
叹	tiv
啕	tiz
偷	tj/
停	tj;
仝	tja
贪	tjo
堂	tju
途	tjv
佟	tjz
挑	tk/
推	tk;
探	tka
托	tke
徒	tku
抬	tkv
投	tkz
讨	tla
袒	tlo
褪	tlv
糖	tm;
誊	tmo
剃	tmu
妥	tmv
鹈	tmz
悌	tn/
突	tna
恬	tne
惕	tno
恸	tnu
眺	to/
瞳	to;
田	toa
蜓	toe
峒	too
贴	tou
暾	tr;
躺	tru
婷	ts;
屯	tsv
毯	tt/
透	tt;
甜	tta
颓	tte
筒	tto
舔	ttu
廷	ttv
秃	ttz
填	tu/
塘	tu;
土	tua
塔	tue
坦	tuo
趟	tuu
坛	tuv
坍	tuz
腾	tv/
腿	tv;
豚	tva
胴	tvo
膛	tvu
胎	tvv
陶	tvz
鸵	tw;
饨	twa
彤	twe
兔	two
獭	twz
驼	tx;
缇	txo
绦	txz
锑	ty/
铊	ty;
钛	tya
铜	tyo
镗	tyu
龆	tyz
迢	tz;
帑	tzo
碗	wa;
歪	waa
戊	wae
兀	wav
尉	wba
尾	wbe
慰	wbv
梧	wca
枉	wcu
桅	wcz
湾	wd;
汪	wda
沃	wde
涡	wdo
污	wdu
渥	wdv
蕹	we;
葳	wea
薇	wee
苇	weu
蔚	wev
斡	wf/
巫	wfa
吾	wfo
卧	wfu
恶	wfv
违	wg;
玩	wga
顽	wge
未	wgo
韦	wgu
鹉	wgz
忘	wh;
弯	wha
痿	whe
瘟	who
紊	whu
亡	whv
雾	whz
嗡	wi/
吴	wia
唯	wie
喂	wio
味	wiu
喔	wiv
吻	wiz
伪	wj/
伪	wj;
闻	wja
侮	wje
偎	wjo
伟	wju
挖	wk;
捂	wka
微	wko
握	wkv
挽	wkz
诬	wla
诿	wle
误	wlo
袜	wlu
骛	wlv
鹜	wlz
烷	wm;
瓮	wma
煨	wmo
炜	wmu
翁	wmv
惋	wn;
悟	wna
惟	wne
窝	wno
剜	wnu
寤	wnv
宛	wnz
罔	wo/
蚊	wo;
畏	woa
巍	woe
蜗	woo
围	wou
胃	wov
皖	wr;
晤	wra
魍	wro
旺	wru
瓦	ws;
娲	wso
娃	wsu
娓	wsv
婉	wsz
舞	wt;
牾	wta
魏	wte
午	wtu
委	wtv
稳	wtz
圩	wuu
坞	wuz
腕	wv;
阢	wva
丸	ww;
乌	wwa
勿	wwe
猥	wwo
刎	wwu
危	wwv
纹	wx;
毋	wxe
纬	wxu
纨	wxz
钨	wye
袭	xa;
厢	xaa
夏	xao
硝	xau
殉	xaz
迅	xb;
犀	xbe
痫	xbo
屑	xbu
校	xc;
械	xca
析	xce
杏	xco
楔	xcu
栩	xcv
橡	xcz
溪	xd/
渲	xd;
湘	xda
洗	xde
瀣	xdu
泻	xdv
洵	xdz
蓄	xe;
蕈	xea
薛	xee
血	xeo
荥	xeu
萧	xev
荀	xez
熙	xf;
献	xfa
项	xfe
醒	xfo
鞋	xfu
孝	xfv
协	xfz
璇	xg;
顼	xge
型	xgu
邢	xgv
庠	xh/
序	xh;
需	xha
效	xhe
席	xho
辛	xhu
雪	xhv
癣	xhz
喧	xi;
吓	xia
响	xie
嚣	xio
吁	xiu
啸	xiv
吸	xiz
斜	xj;
休	xja
仙	xjo
削	xju
叙	xjv
修	xjz
徐	xk/
挟	xk;
循	xke
踅	xko
徙	xku
徇	xkz
详	xl/
戏	xl;
习	xla
谢	xle
袖	xlo
训	xlu
讯	xlv
询	xlz
烯	xm/
兮	xma
熄	xme
籼	xmo
凶	xmv
穴	xn/
宣	xna
惜	xne
惺	xno
宵	xnu
懈	xnz
峡	xo;
兄	xoe
蝎	xoo
黠	xou
县	xov
峋	xoz
舷	xq;
欣	xqz
衅	xr/
暄	xr;
晓	xra
星	xre
显	xru
暇	xrv
歇	xrz
嫌	xs/
辖	xs;
姓	xse
匣	xso
轩	xsu
邪	xsv
稀	xt/
选	xt;
箱	xta
香	xto
卸	xtv
秀	xtz
幸	xu/
熹	xu;
馨	xue
贤	xuo
墟	xuu
险	xv/
逊	xv;
膝	xva
陷	xve
腥	xvo
隙	xvu
限	xvv
胸	xvz
鲜	xw/
夕	xw;
枭	xwa
饷	xwe
旬	xwo
玺	xwu
匈	xwv
馅	xwz
飨	xx/
巡	xx;
骁	xxa
乡	xxe
细	xxo
续	xxu
绚	xxz
鑫	xy/
镶	xy;
虚	xya
锈	xye
锡	xyo
销	xyu
勰	xzo
尤	ya;
硬	yaa
愿	yae
右	yao
研	yau
友	yav
熨	yb/
异	yba
尹	ybe
聿	ybu
痈	ybz
榆	yc/
椅	yca
樱	yco
樾	ycu
乙	ycv
杨	ycz
洋	yd/
演	yd;
源	yda
渊	yde
油	ydo
沅	ydu
泳	ydv
沿	ydz
荧	ye/
页	ye;
芽	yea
莠	yee
营	yeo
莹	yeu
艺	yev
药	yez
雨	yf;
亚	yfa
严	yfe
燕	yfo
酝	yfu
耶	yfv
瑶	yg/
迂	yg;
琊	yga
元	yge
玉	ygo
耘	ygu
云	ygv
艳	ygz
痒	yh/
亦	yh;
弈	yha
夜	yhe
衣	yho
育	yhv
韵	yhz
吟	yi/
咬	yi;
呀	yia
跃	yie
员	yio
叶	yiu
咏	yiv
阅	yj/
仪	yj;
优	yja
攸	yje
仪	yjo
余	yju
愈	yjv
仰	yjz
摇	yk/
衍	yk;
掩	yka
御	yke
押	yko
拥	ykv
扬	ykz
议	yl/
永	yl;
讶	yla
预	yle
翼	ylo
予	ylu
译	ylv
勇	ylz
炎	ym/
遥	ym;
肴	yma
养	yme
益	ymo
羊	ymu
爷	ymv
欲	ymz
悦	yn/
誉	yn;
忧	yna
窑	yne
宜	yno
宇	ynu
忆	ynv
蚁	yo/
遇	yo;
因	yoa
屹	yoe
圆	yoo
园	you
野	yov
鸭	yoz
舆	yr/
邀	yr;
晕	yra
映	yro
曰	yru
延	yrv
昀	yrz
姚	ys/
雅	ys;
姨	ysa
医	yse
姻	yso
妍	ysu
郾	ysv
鸦	ysz
氧	yt/
夭	yt;
氩	yta
筵	yte
秧	yto
竽	ytu
懿	yu;
越	yua
袁	yuo
垠	yuv
院	yv;
腰	yva
腴	yve
阳	yvo
阴	yvv
隐	yvz
馀	yw/
迎	yw;
犹	ywa
颖	ywe
鱼	ywo
猿	ywu
印	ywv
饮	ywz
验	yx/
幺	yx;
绮	yxa
缨	yxo
纭	yxu
缘	yxv
幼	yxz
镒	yy/
铱	yy;
虞	yyo
钰	yyu
钥	yyv
盈	yzo
因为	y;
殡	ba;e
礴	bae;
砭	baev
飙	baz/
璧	bbu;
剥	bbuu
槟	bc;e
彬	bcae
柄	bcau
彬	bcee
柏	bceu
梆	bcuv
滨	bd;/
灞	bd;e
汴	bd;u
滗	bdea
浜	bdeu
濒	bdue
蕃	be/o
蒡	be;;
菠	be;z
荜	beav
蓓	bee;
蓖	beeu
荸	beuv
鬓	bf;e
逋	bf;v
髟	bfee
孛	bfva
邴	bfvv
耙	bgvu
斌	bhaa
庇	bhav
瘪	bhe/
瓣	bhe;
亳	bhea
褒	bheu
痹	bhoa
卞	bhu;
斌	bhua
癍	bhuu
疤	bhvu
哺	biau
哔	biav
呗	bio/
趵	biz;
煲	bj/o
傍	bj;;
傧	bj;e
佰	bjao
俾	bjeu
卜	bjoo
俵	bjue
扒	bk//
掰	bk/e
拌	bk/u
揄	bk/v
扮	bk/z
搏	bkaa
搏	bkau
拔	bkav
扳	bkee
捭	bkeu
捌	bkou
摒	bkv/
拨	bkz;
彼	bkzv
谤	bl;;
祊	bl;v
褓	bleo
裱	blue
焙	bm;o
炳	bmau
敝	bmea
蹩	bmou
憋	bmv;
煸	bmvo
粑	bmvu
鳖	bmzo
愎	bnea
贬	boe;
睥	boeo
髀	boeu
蚌	bouu
舨	bqee
晡	brau
魃	brav
曝	broe
帛	brou
卑	bruu
妣	bsav
婊	bsue
箔	bt;e
簸	btau
筚	btav
犇	btea
篦	bteo
坂	buee
膑	bv;e
膘	bvau
陛	bvav
飚	bw//
鳔	bwau
狈	bwo/
鳊	bwvo
鸨	bwza
鲍	bwzv
绊	bx/u
骉	bxvv
镑	by;;
镔	by;e
钚	bya;
锛	byaa
镖	byau
钹	byav
钣	byee
铂	byeu
悲	byv;
铋	byve
钯	byvv
磋	ca/u
碴	caao
蹙	cao;
殂	caoa
厕	caou
辰	cau;
唇	cauo
碜	cava
孱	cbvv
村	cca;
橱	ccaa
楂	ccao
槽	ccau
郴	ccav
杵	ccea
橙	ccv/
杈	ccv;
椽	ccvv
澶	cd;o
淬	cd;u
淳	cd;v
涔	cdo/
豉	cduv
滁	cdv/
潺	cdva
澄	cdvo
菜	ce/a
苍	ce/v
茨	ce;z
茬	ceau
菖	ceoo
蔡	cezu
酬	cf/u
裁	cf;;
醇	cf;v
敕	cfea
耻	cfua
矗	cfuo
矗	cfuu
翅	cfvv
蚕	cgo;
瓷	cha;
瓷	chav
颤	che/
痴	cheo
畜	choo
疵	chuv
蹭	ci/o
蹴	ci;a
蹿	ci;o
啐	ci;u
嚓	ci;z
嘈	ciao
喳	ciau
躇	cieu
喘	cioa
嗤	cioo
呈	ciua
哧	ciue
嗔	ciuo
嘲	ciuv
呲	ciuz
啜	civv
叱	cizz
氅	cjea
伥	cjeu
催	cjoe
倡	cjoo
促	cjou
俦	cjua
倘	cjuo
偿	cjuu
尝	cjuv
伺	cjvo
储	cjvu
闯	cjvv
侈	cjzz
搓	ck/a
撤	ck;e
搐	ck;o
撺	ck;u
搽	cke/
捶	ckea
拆	ckee
措	ckeo
揣	ckoa
摧	ckoe
操	ckoo
抻	ckou
撮	ckov
扯	ckua
抄	ckue
掺	ckva
搀	ckz;
谶	cl/a
诧	cl;e
翠	cl;u
衬	clau
戳	clav
谌	cle/
褚	cluo
衩	clv;
谗	clz;
谄	clze
皴	clzv
豺	cmau
糙	cme;
炽	cmo/
肏	cmo;
灿	cmoo
岔	cmou
刹	cmuu
兹	cmvv
岔	cmzo
怆	cn/v
悰	cn;u
怵	cna;
宸	cnaa
惭	cnae
慒	cnao
忖	cnau
怅	cnea
忏	cneu
忡	cnou
忱	cnve
蝉	co/o
蜍	co/u
岑	co/v
贮	co;a
幢	co;o
崇	co;u
瞅	coea
黜	coou
畴	coua
瞠	couo
艟	cq;o
侪	cr;e
魑	cr;o
臭	cra;
虿	cso;
邨	csvu
簇	ct;e
秤	ct;u
垂	ctaa
氚	cteu
篡	ctoa
筹	ctua
	ctva
笞	ctvo
稠	ctzu
丞	cvaa
肠	cvze
猝	cw;u
馇	cwau
舛	cwav
饬	cwea
鲳	cwoa
猖	cwoo
删	cwuu
骋	cxoa
粲	cy/;
锉	cy/u
齿	cy/v
铳	cy;e
雌	cye;
锤	cyea
钏	cyeu
龊	cyou
钗	cyv;
碇	da;a
礅	da;e
碟	daaa
耷	daau
碓	daeu
砥	daz;
碉	dazu
椟	dcu;
档	dcuv
淀	dd;a
渡	dd;e
逗	dd;v
沓	ddoo
滇	dduo
蒂	de;o
耵	dfau
耋	dfav
颠	dfe/
聃	dfo;
靼	dfoa
蠹	dfoo
痘	dhao
疔	dhau
瘩	dhe/
疸	dhoa
盗	dhoo
帝	dhou
癫	dhue
啖	di//
蹈	di/e
嗲	di/z
嘀	di;o
踮	di;u
哒	dia;
叮	diau
吨	diav
嗒	die/
嘚	dieo
噔	div/
叼	diva
咚	diz;
跺	diza
哆	dizz
仃	djau
黛	djo;
佃	djoa
侗	djoo
掂	dk;u
掉	dkua
垫	dkuu
挡	dkuv
掇	dkvv
捣	dkzo
褡	dle/
谍	dlea
怠	dlov
祷	dlua
裆	dluv
怼	dlv;
裰	dlvv
诋	dlz;
奠	dmao
炖	dmav
兑	dmee
郸	dmvu
羝	dmz;
貂	dmzo
惇	dn;o
宕	dnao
窦	dnu;
悼	dnua
睇	do/v
瞪	do;a
蚪	do;u
盹	doav
黩	dou;
巅	doue
睹	douo
瞪	dov/
眈	dovv
舵	dq;z
牒	drea
妲	dsoa
氮	dt//
氘	dteu
犊	dtu;
丢	dtv;
坫	duua
腚	dv;u
蛋	dvo;
堕	dvua
陡	dvuu
氐	dw;;
丹	dw;a
甸	dwoo
岛	dwou
剁	dwuu
锭	dy;a
镝	dy;o
钝	dyav
铤	dyea
钿	dyoa
镫	dyv/
梵	fcz;
汾	fd/z
淝	fdvv
藩	fe;e
芾	fe;o
菲	feua
敷	ffea
麸	fgu;
奉	fguu
珐	fguv
痱	fhua
疯	fhz/
呋	fiu;
俯	fj;e
伏	fja;
俸	fjaa
阈	fjao
傅	fjau
伐	fjav
抚	fkuv
讣	flu;
粪	fme/
斧	fmee
忿	fmv;
孚	fmvu
乏	fmvv
分	fmzz
悱	fnua
罘	foa;
蝠	foao
帆	foz;
蜂	fozu
舫	fq;v
辐	fsao
馥	ftea
筏	fteu
氟	ftvu
坊	fu;v
腑	fv;e
肺	fv;o
肪	fv;v
腹	fvea
腹	fveo
腓	fvua
逢	fw;v
鲱	fwua
凤	fwv;
狒	fwvu
龚	gae/
槁	gc;o
梗	gca;
杠	gcau
梏	gcea
杆	gcuu
枸	gczo
灌	gdeo
汩	gdoo
洸	gdue
耿	gf//
甘	gfaa
聒	gfea
贡	gfo/
瞽	gfoo
恭	gfu;
巩	gfz;
鸪	gfza
珙	gge/
耕	ggue
珪	gguu
衮	gheu
赓	gho/
痼	ghou
膏	ghov
庚	ghv;
庚	ghva
膏	ghvv
嗝	giao
哽	giau
啯	giou
咣	giue
剐	giuu
咯	gizo
仡	gjea
刽	gju;
闺	gjuu
鸽	gjza
伽	gjzo
掼	gkoo
掴	gkou
拐	gkoz
擀	gku/
诰	glea
诟	glee
诂	gluo
褂	gluu
糕	gm/;
羹	gm/u
虢	gmuz
炔	gmv;
宫	gnoo
蚣	go/v
赅	go;/
岗	goo/
帼	goo;
蛊	gooa
崮	gooo
刿	gouu
鹘	goza
骼	gozo
躬	grvv
臵	gszo
篙	gt;o
箍	gtau
篝	gteo
牯	gtuo
竿	gtuu
乖	gtuz
鹄	gtza
埂	guau
圪	guea
卦	guu;
圭	guua
膈	gvao
肛	gvau
肱	gvav
胱	gvue
胳	gvzo
犷	gw;e
逛	gw;v
鳏	gwou
龟	gwov
鲑	gwuu
狗	gwzo
纲	gxo/
锢	gyou
铬	gyzo
憨	hbv;
杭	hc;z
桦	hceu
濠	hd;a
浒	hd;e
浣	hd;u
汇	hdav
洪	hde/
淮	hde;
海	hdea
潢	hdeo
混	hdoa
灏	hdoe
涸	hdou
滑	hdov
瀚	hdu/
汗	hduu
浑	hdva
沪	hdve
涵	hdvu
泓	hdvv
涣	hdzo
藿	he;e
蒿	he;o
蕙	heav
蘅	heez
薨	heoa
菡	hevv
酣	hfaa
鬟	hfoo
惠	hfv;
邯	hfvu
耗	hgea
璜	hgeo
琥	hgua
珲	hgv;
彗	hgva
霍	hhe;
麾	hhea
瘊	hhev
肓	hhva
亨	hhvv
痪	hhzo
呼	hi/u
嚯	hi;;
嚎	hi;a
嗨	hi;e
呵	hiau
哄	hie/
嗬	hiee
嗥	hieo
哗	hieu
喉	hiev
嘿	hio;
踝	hioo
喙	hivv
颌	hje/
盒	hjoo
阖	hjuo
辉	hjva
侯	hjve
捍	hkoa
徊	hkoo
护	hkve
衡	hkzu
诃	hlao
讧	hlau
谎	hle;
诲	hlea
扈	hlov
褐	hloz
祜	hluo
讳	hluu
鹤	hlza
豢	hma;
烘	hme/
煳	hmuv
恢	hna/
憾	hna;
恒	hnao
宦	hnau
宏	hnav
悔	hnea
惶	hneo
寰	hnoe
怙	hnuo
骸	ho;/
虾	hoau
贿	hoav
蚶	hoea
骺	hoee
圜	hooa
蛔	hooo
逅	hq;v
颢	hre;
晦	hrea
皓	hreo
昊	hru;
晃	hrue
鼾	hruu
曷	hrz/
齁	hrzo
馄	hsoa
嬛	hsoo
惑	hsv;
氦	ht;e
赫	huu/
恚	huv;
斛	hw;u
狐	hwee
獾	hweo
凰	hweu
奂	hwo;
猾	hwov
猢	hwuv
绘	hx/u
砸	iaao
臧	iaau
砧	iaua
殖	iauo
咫	ibo/
帚	ibou
梓	ic;/
柱	ic;a
榨	ic;e
樟	ic;o
棕	ic;u
杖	ica;
柘	icao
桎	icau
椎	ice;
栀	icee
栉	icev
栈	icu;
桢	icua
榛	icue
植	icuo
杼	icv;
札	icvv
滋	id/v
漳	id;o
湛	ida/
涿	ida;
渣	idao
滞	idau
洙	idea
浊	ido;
渍	idu/
渚	iduo
汁	iduu
濯	idv;
涨	idva
淄	idvo
泽	idvu
潴	idzu
蔗	ie;;
藻	ie;o
蘸	ieau
芷	ieua
茁	ievv
枣	if;;
鬃	if;a
醉	if;u
甄	ifa;
栽	ifau
酢	ifea
煮	ifo;
哉	ifoo
酯	ifzo
璋	ig;o
瓒	igea
赘	igo/
盏	igoo
瑱	iguo
疹	ih/e
卒	ih/u
瘴	ih;o
震	ihaa
斋	ihao
症	ihau
族	ihea
彰	ihee
衷	ihoe
咨	ihoo
章	ihou
庄	ihua
壮	ihuu
痣	ihuv
恣	ihv;
妆	ihve
咤	ii;e
跖	iiao
咂	iiav
咋	iiea
唣	iieo
吒	iiev
咀	iioa
躁	iioo
嘬	iiov
啧	iiu/
趾	iiua
吱	iiuv
啁	iizu
咒	iizz
僮	ij;o
仗	ija;
佐	ijaa
侄	ijau
俎	ijoa
闸	ijou
帧	iju/
侦	ijua
债	ijuo
拄	ik;a
撞	ik;o
挝	ika;
振	ikau
挚	ikea
折	ikee
攒	ikeo
攥	ikeu
蛰	iko;
徵	ikoe
哲	ikoo
拽	ikov
揍	ikuu
擢	ikv;
拯	ikva
撰	ikve
摺	ikvo
拙	ikvu
扎	ikvv
执	ikz;
鸷	ikza
挣	ikzv
谪	il;o
翟	ile;
诛	ilea
诈	ileu
蚤	ilo;
诅	iloa
祝	iloe
祉	ilua
褶	ilve
祗	ilz;
鸩	ilza
诤	ilzu
诌	ilzv
兆	im;;
炷	im;a
粽	im;u
糟	imao
繇	imev
炽	imo/
燥	imoa
燥	imoo
粘	imuo
灶	imuu
兹	imv;
孳	imvu
籽	imvv
憎	in/o
寨	inau
窒	inav
窄	inea
惴	inoa
祯	inua
赠	io/o
眨	io/v
贮	io;a
赃	io;u
贼	ioa;
赈	ioaa
蛭	ioau
崭	ioav
颛	ioe/
蛛	ioe;
账	ioea
蚱	ioeu
眨	ioev
盅	iooa
崽	ioov
峙	iou;
罪	ioua
罩	iouo
胄	iova
瞩	iove
瞻	ioz;
睁	iozv
追	ir;v
侏	ireu
錾	is/a
辄	isau
斩	isee
轴	isoa
轴	isoo
匝	isou
辎	isvo
郅	isvu
朱	it;;
箴	ita;
乍	itaa
簪	itao
稚	ite;
秩	itea
笊	itee
雉	iteu
秭	itev
赞	ito/
租	itoa
纂	itov
稹	itu/
毡	itua
箸	ituo
竺	ituu
篆	itv;
赵	iu/;
凿	iu/v
赭	iuue
喆	iuuo
胗	iv/e
膣	iv;a
脏	iv;u
奘	iva;
肘	ivau
孜	ivea
肿	ivou
肢	ivuv
鳟	iw/a
兆	iw;;
獐	iw;u
猹	iwau
昝	iwoo
鲭	iwuv
馔	iwve
邹	iwvv
缯	ix/o
绽	ix;a
驻	ix;u
骓	ixe;
缜	ixuo
绰	ixuu
缁	ixvo
绌	ixvu
绉	ixzv
镇	iyao
桌	iyau
铢	iyea
贞	iyo/
占	iyoo
铡	iyou
镯	iyoz
铸	iyua
钻	iyuo
卓	iyuu
龇	iyuv
硷	ja/a
礓	jaao
礁	jae;
疆	jbao
犟	jbea
届	jboa
君	jboo
剧	jbuu
忌	jbv;
郡	jbvu
橛	jca/
柩	jcav
桔	jcuo
椒	jcuv
枷	jczo
浃	jd;;
酒	jdau
浇	jdav
湫	jdea
沮	jdoa
涧	jdou
涓	jdov
泾	jdva
浸	jdvv
浚	jdvz
茭	je;/
荚	je;;
荠	je;e
菅	je;v
蒋	je;z
蕨	jea/
菁	jeaa
苣	jeav
蕉	jee;
茧	jeo;
苋	jeoe
莒	jeoo
藉	jeue
葭	jevv
芨	jez;
茄	jezo
蓟	jezu
棘	jfau
戟	jfav
截	jfe;
靳	jfee
聚	jfeu
贾	jfo/
觐	jfoe
兢	jfue
髻	jfuo
酵	jfuv
瑾	jgeo
珏	jgu;
井	jguu
玖	jgz;
珈	jgzo
玑	jgzv
疥	jh/e
瘠	jh/v
夹	jh;;
霁	jh;e
奖	jha;
酱	jhao
桨	jhau
颊	jhe/
旌	jhea
齑	jheu
疽	jhoa
竞	jhoe
竭	jhoz
浆	jhu;
剂	jhuu
靖	jhuv
痉	jhva
疖	jhvu
脊	jhvv
竣	jhvz
疚	jhz;
鹫	jhza
痂	jhzo
嗟	ji/a
跻	ji;e
蹶	jia/
噘	jia;
噤	jiau
喈	jiav
噱	jiua
咭	jiuo
踞	jivu
叽	jizz
俭	jj/a
倦	jj/v
佼	jj;/
焦	jj;;
侥	jjaa
僵	jjao
僭	jjav
牮	jjea
儆	jjee
借	jjeo
觎	jjoe
偈	jjoz
佶	jjuo
佳	jjuu
伎	jjuv
仅	jjv;
倨	jjvo
倔	jjvu
健	jjvv
俊	jjvz
阄	jjzo
挟	jk;;
搅	jk;o
撅	jka/
拣	jka;
捷	jkav
攫	jko;
捐	jkov
拮	jkuo
街	jkuu
抉	jkv;
掘	jkvv
掬	jkz/
衿	jl/v
谏	jla;
诫	jlaa
襟	jlau
诫	jlav
颈	jle/
谨	jleo
诘	jluo
讦	jluu
诀	jlv;
诀	jlva
谲	jlvo
裾	jlvu
肩	jlvv
鸡	jlza
皲	jlzv
讥	jlzz
煎	jm;;
桀	jmau
眷	jmoa
炯	jmoo
羯	jmoz
烬	jmv;
焗	jmva
姜	jmve
翦	jmvv
悸	jnea
憬	jno;
蹇	jnou
囧	jo/v
迥	jo;v
畸	joaa
睫	joav
瞿	joe;
羁	joev
贱	jou;
巾	jouu
睛	jouv
囝	jova
崛	jovv
峻	jovz
皎	jr;/
舅	jroz
姣	js;/
嫉	js;e
姬	jsau
婕	jsav
娇	jsea
匠	jsee
轿	jseu
辑	jsoa
娟	jsov
奸	jsuu
婧	jsuv
箭	jt/v
榘	jta;
犄	jtaa
嵇	jtao
箕	jtau
稽	jtaz
积	jto/
笕	jtoe
稷	jtoz
笺	jtu;
秸	jtuo
筠	jtuz
毽	jtva
犍	jtvv
筋	jtvz
笳	jtzo
吉	juoo
赳	juvu
圾	juz;
嘉	juzo
劫	juzz
孓	jv;;
阱	jvuu
脚	jvuv
腱	jvv;
胫	jvva
肌	jvzz
饺	jw;/
狡	jw;;
鲸	jw;u
飓	jwo/
狙	jwoa
咎	jwoo
狷	jwov
饯	jwu;
鲫	jwvv
鸠	jwza
饥	jwzz
缄	jxao
缙	jxau
缴	jxee
缉	jxoa
骥	jxua
剿	jxuu
